Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,F4-2400C14Q2-128GRK,G.SKILL,Ripjaws 4 DDR4 2400 C14 8x16GB,1,123,42,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C14-8x16GB/Rating/3567
RAM,F4-3200C14Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C14 4x16GB,2,112,724,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C14-4x16GB/Rating/3612
RAM,BLS4K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 8x4GB,3,110,82,https://ram.userbenchmark.com/SpeedTest/93395/Crucial-BLS4G4D240FSAM8FAD-8x4GB
RAM,BLE4K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 4x8GB,4,106,222,https://ram.userbenchmark.com/SpeedTest/811381/Crucial-BLE8G4D36BEEAKM8FE1-4x8GB
RAM,F4-3200C14Q-32GFX,G.SKILL,Flare X DDR4 3200 C14 4x8GB,5,106,3067,https://ram.userbenchmark.com/SpeedTest/270794/GSKILL-F4-3200C14-8GFX-4x8GB
RAM,F4-3200C15Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C15 4x16GB,6,106,148,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C15-4x16GB/Rating/3613
RAM,CMD64GX4M4B3000C15,Corsair,Dominator DDR4 3000 C15 4x16GB,7,106,75,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-4x16GB/Rating/3565
RAM,CMK32GX4M4A2666C15,Corsair,Vengeance LPX DDR4 2666 C15 4x8GB,8,100,552,https://ram.userbenchmark.com/SpeedTest/89347/Corsair-Vengeance-LPX-CMK32GX4M4A2666C15-4x8GB
RAM,F4-3200C14D-16GFX,G.SKILL,Flare X DDR4 3200 C14 2x8GB,9,98.6,20206,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB
RAM,BLS4K4G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 4x4GB,10,98.2,1480,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561
RAM,F4-3200C16Q-64GVK,G.SKILL,Ripjaws V DDR4 3200 C16 4x16GB,11,97.4,3691,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564
RAM,F4-3600C16D-16GTZ,G.SKILL,Trident Z DDR4 3600 C16 2x8GB,12,95.8,2530,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C16-2x8GB/Rating/3562
RAM,HX426C15FBK4/32,HyperX,Fury DDR4 2666 C15 4x8GB,13,95,4149,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-4x8GB/Rating/3570
RAM,F4-3000C15Q-16GRR,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,14,94.9,2306,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3000C15Q-16GRB,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,14,94.9,2306,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3000C15Q-16GRK,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,14,94.9,2306,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3600C17D-16GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x8GB,15,94.6,1026,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x8GB/Rating/3563
RAM,BLE2K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 2x8GB,16,93.7,889,https://ram.userbenchmark.com/SpeedTest/786050/Crucial-BLE8G4D36BEEAKM8FE1-2x8GB
RAM,F4-2800C16Q-16GRR,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.7,976,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,F4-2800C16Q-16GRB,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.7,976,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,F4-2800C16Q-16GRK,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.7,976,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,CMR16GX4M2C3600C18,Corsair,Vengeance RGB DDR4 3600 C18 2x8GB,18,92.2,3219,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB
RAM,CMR16GX4M2C3466C16,Corsair,Vengeance RGB DDR4 3466 C16 2x8GB,19,91.9,3545,https://ram.userbenchmark.com/SpeedTest/287318/Corsair-CMR16GX4M2C3466C16-2x8GB
RAM,CMK16GX4M4B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,20,91.8,4399,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
